District,Region,Area,outletname,OUTLET TYPE,VC,longitude,latitude,vf
BEIRUT,RMEIL,MAR MICHAEL,Hasan Younis( Ramy )Market,Newelneh,5,35.5323,33.8964,2
BEIRUT,MAZRAA,RAS EL NABAA,AL JAMIL MARKET( foad),GROCERY,5,35.508,33.881,2
BEIRUT,MAZRAA,BARBOUR,HAMOUD MM,GROCERY,5,35.5007,33.8796,2
BEIRUT,MAZRAA,BOURJ ABOU HAYDAR,KHATAB MM,GROCERY,4,35.5008,33.8839,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,EXPRESS ADNAN,Newelneh,5,35.4956,33.876,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,FAKHRI MM,GROCERY,5,35.4978,33.8758,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,ABO FADI MM,GROCERY,5,35.4977,33.8708,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,ABOU NEEL MM,GROCERY,5,35.5046,33.8728,2
BEIRUT,MOUSAITBEH,TALLET KHAYAT,QUICK MARKET,GROCERY,4,35.4869,33.8873,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,FRAIJEH MM,GROCERY,5,35.4877,33.8802,2
BEIRUT,RAS BEIRUT,VERDUN,AL BAWAB MARKET,GROCERY,6,35.4858,33.8877,2
BEIRUT,RAS BEIRUT,Rawshe,Donald Duck,GROCERY,5,35.4719865,33.8927317,2
BEIRUT,ACHRAFIEH,RMEIL,SAMAHA STORES,GROCERY,5,35.5143,33.8934,2
BEIRUT,ACHRAFIEH,FURN EL HAYEK,CHARBEL MARKET,GROCERY,6,35.5139,33.8893,2
BEIRUT,ACHRAFIEH,RMEIL,MARCEL MM,GROCERY,5,35.5246263,33.8937655,2
BEIRUT,ACHRAFIEH,RMEIL,YOUNES MM,GROCERY,6,35.5264,33.8906,2
BEIRUT,MAZRAA,RAS EL NABAA,CHAAR SM,GROCERY,5,35.5086,33.8825,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,RAFEH,GROCERY,5,35.4918,33.876,2
BEIRUT,MAZRAA,RAS EL NABAA,SARA,GROCERY,5,35.5105,33.882,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,KHORFAN MM.,GROCERY,5,35.4988,33.8697,2
BEIRUT,ACHRAFIEH,SODECO,NINOS CAFE,Newelneh,5,35.5108,33.8828,2
BEIRUT,MOUSAITBEH,ZARIF,MOUSLEH MARKET,GROCERY,5,35.4947,33.889,2
BEIRUT,RAS BEIRUT,HAMRA,SOBHI HAMOUD MARKET,GROCERY,5,35.4798,33.8981,2
BEIRUT,RAS BEIRUT,Rawshe,Manara Market,GROCERY,6,35.4718,33.8962,2
BEIRUT,MOUSAITBEH,ZARIF,BOB MARKET,GROCERY,5,35.4924,33.8896,2
BEIRUT,RAS BEIRUT,HAMRA,DISTRICT CAFE,GROCERY,5,35.4891,33.8974,2
BEIRUT,MOUSAITBEH,MAR ELIAS,AL NAJAH,GROCERY,5,35.4951,33.8896,2
BEIRUT,ACHRAFIEH,FURN EL HAYEK,EL PISTACHIO,GROCERY,6,35.5136,33.89,2
BEIRUT,ACHRAFIEH,RMEIL,Abdel MASEEH,GROCERY,6,35.5165,33.895,2
BEIRUT,ACHRAFIEH,HOTEL DIEU,EL DUKKAN,GROCERY,6,35.5165,33.8801,2
BEIRUT,ACHRAFIEH,RMEIL,ELISHA,GROCERY,6,35.5283,33.8885,2
BEIRUT,ACHRAFIEH,NASRA,ASSAF KHAMIS,GROCERY,6,35.5193,33.888,2
BEIRUT,RAS BEIRUT,HAMRA,ALI CAFE,Newelneh,5,35.4772,33.8945,2
BEIRUT,ZOUKAK BLAT,PATRIARCAT,EZZ CAFE,KIOSK,5,35.5025,33.895,2
BEIRUT,ACHRAFIEH,RMEIL,Manoukian Market,GROCERY,6,35.5341,33.8948,2
BEIRUT,ACHRAFIEH,RMEIL,ALFRED MINIMARKET,GROCERY,6,35.529,33.8885,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,SELEEN MM,GROCERY,4,35.5023,33.8726,2
BEIRUT,MAZRAA,BARBOUR,HMAYED MM,GROCERY,6,35.5,33.8804,2
BEIRUT,RAS BEIRUT,HAMRA,Mishref Market,Newelneh,5,35.4762,33.8939,2
BEIRUT,RAS BEIRUT,Rawshe,RHAYYEL CELL,GROCERY,5,35.4715,33.8925,2
BEIRUT,MOUSAITBEH,TALLET KHAYAT,AYYAS MARKET,GROCERY,6,35.4859,33.8893,2
BEIRUT,RAS BEIRUT,KRAITEM,GOLDEN MARKET,GROCERY,6,35.4785,33.889,2
BEIRUT,ACHRAFIEH,RMEIL,JOSEPH DAKKASH,GROCERY,5,35.5205,33.8955,2
BEIRUT,RMEIL,MAR MICHAEL,Saliba Minimarket,GROCERY,5,35.5318,33.8955,2
BEIRUT,MINA EL HOSN,KANTARI,AZIZ,GROCERY,4,35.4958,33.8964,2
BEIRUT,RAS BEIRUT,KRAITEM,ABOU YOUSEF CAFE,Newelneh,5,35.4826,33.8906,2
BEIRUT,ACHRAFIEH,RMEIL,L EPICIERIE,GROCERY,6,35.5295,33.8869,2
BEIRUT,MAZRAA,BARBOUR,AL KAMAR MARKET,GROCERY,5,35.4978,33.8802,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,CAFE AL HALABI,Newelneh,4,35.5042,33.8751,2
BEIRUT,MAZRAA,BOURJ ABOU HAYDAR,JANON MM,GROCERY,5,35.5014,33.8816,2
BEIRUT,MAZRAA,NWEIRI,MAKHAZENTAMWEEN ( FAKHRO ),GROCERY,5,35.5041,33.884,2
BEIRUT,MAZRAA,NWEIRI,GRAND MARCHE,GROCERY,5,35.5062,33.8851,2
BEIRUT,RAS BEIRUT,KRAITEM,ZEIN MARKET,GROCERY,5,35.4783,33.8918,2
BEIRUT,RAS BEIRUT,Rawshe,Aakari,GROCERY,5,35.4746,33.8881,2
BEIRUT,RAS BEIRUT,AIN MREISSEH,AL MOUKHTAR,Newelneh,4,35.4919,33.9014,2
BEIRUT,ACHRAFIEH,RMEIL,ABI KHALIL MARKET,GROCERY,6,35.5307,33.8932,2
BEIRUT,MAZRAA,NWEIRI,TAANEL MARKET,GROCERY,5,35.5058,33.8839,2
BEIRUT,MOUSAITBEH,MAR ELIAS,SARA MARKET,GROCERY,4,35.495,33.8828,2
BEIRUT,MAZRAA,NWEIRI,CORNICH CAFE,Newelneh,5,35.5006,33.8786,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,YOYO SM,GROCERY,5,35.5049,33.8761,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,DOCTOR BEER,Newelneh,5,35.4939,33.8765,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,ROMARIO,Newelneh,4,35.4942,33.8764,2
BEIRUT,MOUSAITBEH,MAR ELIAS,FORN AL HATAB,GROCERY,5,35.494,33.8854,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,AMER MM,GROCERY,4,35.5043,33.8746,2
BEIRUT,RAS BEIRUT,HAMRA,BUBBLES,GROCERY,6,35.4817,33.8994,2
BEIRUT,MINA EL HOSN,KANTARI,ABOU TALAL MM,GROCERY,5,35.4937,33.8963,2
BEIRUT,RAS BEIRUT,Rawshe,Zriek Market,GROCERY,5,35.4746,33.8879,2
BEIRUT,MAZRAA,BADARO,DICK NUTS,GROCERY,6,35.5172,33.8746,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,ALBAN W AJBAN KAAKATI,GROCERY,5,35.5042,33.8747,2
BEIRUT,BASHOURA,BASHOURA,ZAHREDDIN MARKET,GROCERY,5,35.5033,33.8883,2
BEIRUT,MOUSAITBEH,TALLET KHAYAT,HMEDE MARKET,GROCERY,6,35.4903,33.8875,2
BEIRUT,BASHOURA,KHANDAK GHAMIK,DARWISH EST,GROCERY,5,35.5055,33.8883,2
BEIRUT,BASHOURA,KHANDAK GHAMIK,MM HADDAD,GROCERY,6,35.5049,33.8881,2
BEIRUT,MOUSAITBEH,MAR ELIAS,MM ABOU SHAARA,GROCERY,5,35.495,33.8807,2
