District,Region,Area,outletname,OUTLET TYPE,VC,longitude,latitude,vf
BEIRUT,MAZRAA,TARIQ EL JDIDE,PRINCE MARKET (Afif EL Tibi),GROCERY,5,35.4976,33.8766,2
SOUTH,TYR,TYR,CAFÉ NAJJAR,Newelneh,5,35.225,33.2863,2
NABATIEH,NABATIEH,Qsaybe,For all Market (youssef),GROCERY,5,35.4136,33.3394,2
NABATIEH,NABATIEH,Kfar jawz,NASSAR MM,GROCERY,6,35.4797,33.3955,2
SOUTH,SAIDA,HAY EL NJASA,AWAS M.M.,GROCERY,6,35.3734,33.5602,2
SOUTH,SAIDA,Taamir Saida,MAKHZAN EL WASSIM,GROCERY,5,35.3817,33.5487,2
SOUTH,SAIDA,Hlaliyeh,LABIB EL BSAT,GROCERY,5,35.3886,33.5645,2
BECAA,BAALBACK,Al Khodor,AL RIDA SM (KHODER),GROCERY,5,36.1384,33.9175,2
BECAA,RACHAYA,DAHER EL AHMAR,EYAD FEIEK,GROCERY,4,35.8288,33.5372,2
BECAA,RACHAYA,Masnaa,HAMMOUD MARKET (MASNA3),GROCERY,4,35.918,33.705,2
BECAA,BAALBACK,Bodai,IBRAHIM SEBLANI,GROCERY,5,36.0678,34.0759,2
BECAA,BAALBACK,Bodai,SHAMAS SM (BODAI),GROCERY,5,36.0667,34.0575,2
BECAA,ZAHLE,Zahleh Rural,MOUKBEL SM,GROCERY,4,35.9616,33.7901,2
BECAA,BAALBACK,Nabi Shit,KELLAS SM,GROCERY,5,36.0785,33.8797,2
BECAA,ZAHLE,Zahle City,NAWELNI (ZAHLE),Newelneh,4,35.9025,33.8456,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,CAFÉ BURGER KING,Newelneh,5,35.8278,34.4418,2
MOUNT LEBANON,METN,DORA,ASSAAD JABBOUR MARKET,GROCERY,5,35.5553,33.8936,2
MOUNT LEBANON,METN,JAL EL DIB,Break Inn,Newelneh,5,35.5842,33.908,2
MOUNT LEBANON,METN,BOLONIA,The Grocer,GROCERY,5,35.7484,33.9123,2
MOUNT LEBANON,METN,JAL EL DIB,NAWELNEH BAS,Newelneh,5,35.59,33.9068,2
MOUNT LEBANON,METN,ANTELIAS,COIN MARKET (ANTELIAS),GROCERY,4,35.5931,33.9126,2
MOUNT LEBANON,KESERWAN,GHAZIR & KFARHBAB,THE MARKIT,GROCERY,5,35.6509,34.0123,2
MOUNT LEBANON,BAABDA,HAZMIEH,SMOKER CENTER,SPECIALIST,4,35.5298,33.8606,2
BEIRUT,ACHRAFIEH,Sagesse,DAILY BASKET,GROCERY,5,35.5198,33.8913,2
BEIRUT,RAS BEIRUT,HAMRA,GRAB N GO - BLISS,Super Market,4,35.4836,33.8992,2
MOUNT LEBANON,METN,DEKWANEH,DONNE_MOI MARKET,Newelneh,5,35.551,33.8767,2
MOUNT LEBANON,ALEY,BCHEMOUN,EXPRESS BCHAMOUN,Newelneh,5,35.4939,33.7921,2
MOUNT LEBANON,BAABDA,BAABDA CITY,HERITAGE MART,GROCERY,4,35.5427,33.8314,2
MOUNT LEBANON,SHOUF,DEIR EL QAMAR,GHASSAN PS,Petrol Station,5,35.5574,33.6974,2
MOUNT LEBANON,ALEY,KHALDE,uncle zack,Newelneh,4,35.4685,33.771,2
MOUNT LEBANON,DAHYEH,SFEIR,MALAK SFEIR (ABOU HAYDAR),GROCERY,5,35.5214,33.852,2
BEIRUT,MARFAA,MAJIDIYEH,EMPRESSO ESPRESSO - ISSA FAWAZ,Newelneh,5,35.5053,33.8938,2
BECAA,BAALBACK,TARAYA,EL DAIAA,GROCERY,4,36.1392,33.9213,2
BEIRUT,ACHRAFIEH,RMEIL,BONJOUR - KARM EL ZAYTOUN,Petrol Station,5,35.529,33.8879,2
MOUNT LEBANON,DAHYEH,AMERCAN,EZZ EL DEEN SM,Super Market,3,35.5234,33.8526,2
NORTH,GREATER TRIPOLI,ABU SAMRA,AL TAYEB CAFÉ,KIOSK,4,35.8372,34.425,2
MOUNT LEBANON,JBEIL,JDAYEL,JEDDAIEL MARKET,GROCERY,5,35.6475,34.1638,2
MOUNT LEBANON,JBEIL,JBEIL CITY,ZIAD MALHAMI,Newelneh,5,35.6515,34.1192,2
MOUNT LEBANON,JBEIL,JBEIL CITY,ASSAF MM,GROCERY,5,35.6584,34.1248,2
BECAA,ZAHLE,Zahleh Rural,BEIT EL JOUD,GROCERY,5,35.8636,33.8178,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,EXPRESS BEIRUT,Newelneh,4,35.4869,33.8815,2
NORTH,GREATER TRIPOLI,ABU SAMRA,TAHECH (ABOU SAMRA),SPECIALIST,1,35.843,34.4292,2
NORTH,GREATER TRIPOLI,ABU SAMRA,MOUSA TOBACCO,SPECIALIST,4,35.8453,34.4238,2
BECAA,ZAHLE,Zahleh Rural,BAALBACKI,GROCERY,5,35.8241,33.7961,2
BEIRUT,MOUSAITBEH,YAZBIK,ALI YASSINE,SPECIALIST,4,35.4948,33.8818,2
MOUNT LEBANON,BAABDA,BAABDA CITY,Best Of mm,GROCERY,5,35.5391,33.8389,2
MOUNT LEBANON,SHOUF,BOQAATA,Zaeem mm,GROCERY,4,35.601,33.6684,2
MOUNT LEBANON,ALEY,KHALDE,Hyper Market Diwan,Super Market,5,35.4853,33.7974,2
MOUNT LEBANON,ALEY,KHALDE,express el ma7abe,KIOSK,5,35.480581,33.7899586,2
MOUNT LEBANON,KESERWAN,QLEIAAT,Karam Market,GROCERY,6,35.6996,33.9624,2
MOUNT LEBANON,KESERWAN,QLEIAAT,Mark's shop,Newelneh,6,35.7046,33.9774,2
MOUNT LEBANON,METN,Hemlaya,Stop Here,GROCERY,6,35.7127,33.9505,2
MOUNT LEBANON,METN,Hemlaya,Abou Chebel,GROCERY,6,35.7132,33.9475,2
MOUNT LEBANON,METN,Hemlaya,MM Nawelneh,Newelneh,6,35.7061,33.9308,2
MOUNT LEBANON,METN,Hemlaya,Hemlaya SM (Municipality),GROCERY,6,35.7085,33.9357,2
MOUNT LEBANON,METN,Hemlaya,Deli Shop,GROCERY,6,35.7074,33.9329,2
MOUNT LEBANON,METN,Hemlaya,Delivery Market,GROCERY,6,35.7069,33.9321,2
MOUNT LEBANON,METN,Hemlaya,Jemmayel Market,GROCERY,6,35.7072,33.9255,2
MOUNT LEBANON,METN,Hemlaya,Domit Market,GROCERY,6,35.7065,33.9245,2
MOUNT LEBANON,METN,Hemlaya,Hemlaya Market (Near Total),GROCERY,6,35.7019,33.9201,2
MOUNT LEBANON,KESERWAN,GHAZIR & KFARHBAB,Trini Mart Kfarhbab,GROCERY,6,35.653,34.01,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,Chafchak 200,SPECIALIST,1,35.8387,34.4414,2
MOUNT LEBANON,METN,AWKAR,Coin Market Awkar,GROCERY,4,35.5938,33.932,2
MOUNT LEBANON,METN,AWKAR,Mike Shop,Newelneh,5,35.6061,33.9356,2
NABATIEH,BENT JBEIL,TEBNINE,Al Amin,GROCERY,5,35.4104,33.1922,2
MOUNT LEBANON,METN,AWKAR,Home Shop Market,GROCERY,6,35.6116,33.9359,2
BEIRUT,RAS BEIRUT,HAMRA,Address,GROCERY,4,35.4784,33.8964,2
MOUNT LEBANON,METN,AWKAR,Mounir El Hajj Store,GROCERY,5,35.592,33.944,2
MOUNT LEBANON,KESERWAN,AAQEIBE,Liqir Market,GROCERY,5,35.6409,34.0554,2
MOUNT LEBANON,KESERWAN,AAQEIBE,Peter Market,GROCERY,5,35.6434,34.058,2
MOUNT LEBANON,DAHYEH,JAMOUS,Hamdan (Jamous),GROCERY,5,35.5215,33.8453,2
MOUNT LEBANON,METN,MANSOURIEH,Take & Go,Newelneh,4,35.5558,33.86,2
BECAA,ZAHLE,Zahleh Rural,Mazar,GROCERY,5,36.0773,33.8792,2
BECAA,BAALBECK,DEIR EL AHMAR,Harf Market,GROCERY,5,36.1257,34.089,2
BECAA,ZAHLE,Zahle City,Your Market,GROCERY,5,35.8949,33.8262,2
BECAA,BAALBACK,Al Khodor,Al Khodar Market,GROCERY,5,36.1228,33.9045,2
BECAA,ZAHLE,Zahleh Rural,Saliba Market,GROCERY,5,36.006,33.8519,2
BEIRUT,ACHRAFIEH,RMEIL,Wij El Sahhara,GROCERY,4,35.5256,33.8946,2
NORTH,GREATER TRIPOLI,KALAMOUN,Rafii Café,KIOSK,5,35.7993,34.3925,2
BECAA,ZAHLE,Zahleh Rural,Fadi's Market,GROCERY,5,35.8376,33.8167,2
BECAA,BAALBACK,HALANIYE,Rawad SM,GROCERY,5,36.0186,33.8722,2
MOUNT LEBANON,METN,DORA,QUICK PICK MARKET,Newelneh,5,35.5556,33.8948,2
MOUNT LEBANON,METN,Dhour EL Choueir,Khneiser MM,GROCERY,6,35.7094,33.9128,2
MOUNT LEBANON,METN,BSALIM/ MAJZOUB/ MZHER,Bsalim Drive-Thru,Newelneh,5,35.6083,33.8985,2
MOUNT LEBANON,METN,BOURJ HAMMOUD,Bedo MM,GROCERY,6,35.5406,33.8929,2
MOUNT LEBANON,METN,BEKFAYA,3al Tarik Newilne(Seha),Newelneh,4,35.6723,33.9182,2
MOUNT LEBANON,ALEY,ALEY,shads mart,GROCERY,5,35.6045,33.8062,2
BECAA,Zahleh,MAJDEL AANJAR,Zain SM,GROCERY,3,35.9158,33.7404,2
SOUTH,TYR,SIDIKIN,Abou Ahmad,GROCERY,5,35.3058,33.188,2
BEIRUT,RAS BEIRUT,HAMRA,7 Days,GROCERY,4,35.4815,33.8977,2
BEIRUT,RAS BEIRUT,HAMRA,AL SAYIGH CAFE,Newelneh,5,35.4761,33.8939,2
MOUNT LEBANON,BAABDA,JAMMHOUR,Mini Mart drug store,GROCERY,4,35.5518,33.8491,2
MOUNT LEBANON,KESERWAN,GHAZIR & KFARHBAB,Ghazir Market,GROCERY,5,35.6637,34.0169,2
MOUNT LEBANON,DAHYEH,JAMOUS,Café Al Soultan Jammous,Newelneh,5,35.5206,33.846,2
MOUNT LEBANON,METN,BEIT EL CHAAR,Maria Market,GROCERY,5,35.6202,33.9264,2
MOUNT LEBANON,METN,DEKWANEH,Nader Haddad,SPECIALIST,2,35.5601,33.8785,2
MOUNT LEBANON,KESERWAN,GHAZIR & KFARHBAB,Top Market,Newelneh,4,35.6474,34.0136,2
MOUNT LEBANON,KESERWAN,GHAZIR & KFARHBAB,Toy Market,Newelneh,4,35.6495,34.0101,2
NORTH,GREATER TRIPOLI,ABU SAMRA,Golden Jamal,GROCERY,5,35.8446,34.4189,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,Stop & Shop (Mina),GROCERY,5,35.8154,34.4488,2
MOUNT LEBANON,KESERWAN,KASLIK,Adam Market,GROCERY,6,35.6186,33.981,2
MOUNT LEBANON,KESERWAN,KASLIK,Elia Market,GROCERY,6,35.6227,33.9814,2
MOUNT LEBANON,KESERWAN,KASLIK,Banayot,GROCERY,6,35.6228,33.9813,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,Bahrieh Market,Newelneh,5,35.6125,33.9764,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,Star Market,GROCERY,5,35.612,33.9766,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,Fresh & Easy Market,GROCERY,5,35.6114,33.9764,2
NABATIEH,NABATIEH,DWEIR,EL Berjawi,GROCERY,5,35.4287,33.389,2
NABATIEH,NABATIEH,NABATIYET EL FAOUQA,Yara SM,GROCERY,5,35.5042,33.3523,2
NABATIEH,NABATIEH,STREET AL WARDAT,aldweir m.m,GROCERY,6,35.4099,33.3909,2
MOUNT LEBANON,METN,MTAILEB,Mixx Market,Newelneh,5,35.6263,33.9279,2
MOUNT LEBANON,METN,Bourj Hamoud,Pick & Roll,Newelneh,5,35.5452,33.8949,2
MOUNT LEBANON,DAHYEH,TIRO,Café Al Shajrat,Newelneh,6,35.5067,33.8112,2
MOUNT LEBANON,DAHYEH,HARET HREIK,Hanin Café,GROCERY,5,35.5035,33.8561,2
MOUNT LEBANON,DAHYEH,LAYLAKI,Alban W Ajban Al Safi,GROCERY,6,35.5156,33.8296,2
MOUNT LEBANON,METN,ROUMIE,BONJOUR - Roumieh,Petrol Station,5,35.5881,33.8803,2
NORTH,GREATER TRIPOLI,KALAMOUN,3abelak Café,Newelneh,4,35.7999,34.3929,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,Al Rabieh market,GROCERY,5,35.8305,34.4436,2
NORTH,ZGHARTA,AALMA,Golden Jamal,GROCERY,5,35.8969,34.4206,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,Nechebeh tobacco,SPECIALIST,4,35.8318,34.4449,2
NORTH,BATROUN,BATROUN CITY,Younis Market,GROCERY,5,35.6601,34.2541,2
MOUNT LEBANON,KESERWAN,SAFRA,Take N Drive,Newelneh,5,35.6308,34.0325,2
MOUNT LEBANON,KESERWAN,FAITROUN,George Youssef Braidi,GROCERY,5,35.7293,33.9898,2
MOUNT LEBANON,KESERWAN,FAITROUN,SalimAbiRachid,GROCERY,6,35.7285,33.9882,2
MOUNT LEBANON,KESERWAN,FAITROUN,Faytroun mm,GROCERY,6,35.7253,33.988,2
MOUNT LEBANON,KESERWAN,FAITROUN,Kassis Market,GROCERY,5,35.7277,33.9879,2
MOUNT LEBANON,KESERWAN,FAITROUN,Al Qaaie Market,GROCERY,6,35.7254,33.9881,2
MOUNT LEBANON,KESERWAN,ZOUK MOSBEH,Mema Geita,GROCERY,5,35.6197,33.9517,2
MOUNT LEBANON,METN,AWKAR,Quick Basket,GROCERY,5,35.6125,33.9307,2
MOUNT LEBANON,KESERWAN,ZOUK MOSBEH,peter's mart,GROCERY,5,35.6121,33.9554,2
MOUNT LEBANON,METN,AWKAR,Malhamt Al Aaelat,GROCERY,5,35.6094,33.9344,2
MOUNT LEBANON,ALEY,AYTAT,Anwar mm,GROCERY,4,35.5692,33.796,2
MOUNT LEBANON,JBEIL,MASTITA,Ramia Market,GROCERY,5,35.6644,34.1061,2
SOUTH,TYR,JOUIAYA,Al Lakis,GROCERY,5,35.3433,33.2309,2
BEIRUT,RMEIL,MAR MICHAEL,KK Market,GROCERY,5,35.5322,33.8965,2
MOUNT LEBANON,METN,ZALKA,Bachaalani (Zalka),GROCERY,5,35.5753,33.9025,2
MOUNT LEBANON,KESERWAN,KASLIK,twenty four,Newelneh,5,35.6138,33.9767,2
MOUNT LEBANON,KESERWAN,SARBA,Diks Nut,Newelneh,4,35.6262,33.9781,2
MOUNT LEBANON,SHOUF,DEIR EL QAMAR,Express 3ala el sari3,Newelneh,6,35.5613,33.6978,2
MOUNT LEBANON,BAABDA,JAMMHOUR,3ala el barake,Newelneh,4,35.5839,33.8311,2
MOUNT LEBANON,JBEIL,JBEIL CITY,Darwish Market,GROCERY,5,35.649,34.1224,2
NORTH,KOURA,KOUSBA,Go Fresh,GROCERY,5,35.8522,34.3053,2
MOUNT LEBANON,METN,JDEIDEH/BOUCHRIEH,Mourad market,GROCERY,6,35.5676,33.8938,2
BEIRUT,MOUSAITBEH,MAR ELIAS,Takssim Mar Elias,GROCERY,6,35.4917,33.8831,2
BEIRUT,RAS BEIRUT,HAMRA,A305 (Bliss),GROCERY,4,35.4786,33.8988,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,3a Tarai2ak (TJ),GROCERY,5,35.4996,33.8719,2
BEIRUT,ZOUKAK BLAT,PATRIARCAT,3a Tarai2ak (ZB),GROCERY,5,35.4992,33.8925,2
BEIRUT,RAS BEIRUT,HAMRA,Rasha Market Hamra,GROCERY,5,35.4867,33.8967,2
BEIRUT,MOUSAITBEH,MAR ELIAS,Pump and Munch,GROCERY,4,35.4905,33.8887,2
BECAA,ZAHLE,Zahleh Rural,Hammoudi Maksi,GROCERY,5,35.8316,33.8127,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,City cafe,GROCERY,5,35.8326,34.442,2
NORTH,GREATER TRIPOLI,KOBBEH,Golden Jamal Qoubeh,GROCERY,5,35.8586,34.4338,2
NORTH,GREATER TRIPOLI,MINA,Aamoudi Tobacco,SPECIALIST,4,35.8122,34.4501,2
MOUNT LEBANON,METN,NACCACHE,Jerom,GROCERY,5,35.6003,33.9298,2
MOUNT LEBANON,METN,ZALKA,Dagher,GROCERY,5,35.5676,33.8977,2
MOUNT LEBANON,METN,BIKFAYA,3a Tari2ak Newelne 2,Newelneh,5,35.6897,33.9192,2
BEIRUT,ACHRAFIEH,RMEIL,Baroud Market,GROCERY,5,35.5248,33.8946,2
MOUNT LEBANON,KESERWAN,QLEIAAT,The MARKET,GROCERY,6,35.7051,33.9774,2
NORTH,KOURA,AAFSDIQ,Seven Eleven,GROCERY,5,35.7904,34.3303,2
MOUNT LEBANON,METN,BHERSAF,Food & More,GROCERY,5,35.6574,33.9019,2
NORTH,GREATER TRIPOLI,ABU SAMRA,Arghilet El Mereahbi,SPECIALIST,4,35.8409,34.422,2
BEIRUT,RAS BEIRUT,HAMRA,Streets,GROCERY,5,35.4841,33.8976,2
MOUNT LEBANON,KESERWAN,JAAITA,Carrefour (Zouk),Super Market,4,35.6216,33.951,2
MOUNT LEBANON,KESERWAN,FARAIYA,GRAB N GO - FARAYA MZAR,GROCERY,6,35.8346,33.9942,2
MOUNT LEBANON,METN,AATCHANE,Atchaneh MM,GROCERY,6,35.6548,33.9146,2
MOUNT LEBANON,METN,DORA,Abi Ramia Carrefour,SPECIALIST,4,35.5655,33.897,2
MOUNT LEBANON,METN,BOURJ HAMMOUD,Newelne (Nahr),Newelneh,5,35.536,33.8961,2
SOUTH,TYR,AIN BAAL,Baalbacki,GROCERY,5,35.2651,33.2278,2
SOUTH,TYR,ZRARIYI,Mrouweh MM,GROCERY,5,35.3507,33.3355,2
MOUNT LEBANON,DAHYEH,HAY AL SOLOUM,Al Day3a,GROCERY,6,35.5171,33.8303,2
NORTH,KOURA,KOUSBA,Carrefour (Kousba),Super Market,4,35.8527,34.3037,2
NORTH,KOURA,BECHMEZZINE,Nimer Station,Petrol Station,5,35.8036,34.3225,2
BEIRUT,MAZRAA,BADARO,GRAB N GO - Badaro,GROCERY,5,35.516,33.8779,2
MOUNT LEBANON,METN,BAABDAT,ROAD kiosk,Newelneh,5,35.665,33.8894,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,Bourj Tawfeer Market,GROCERY,5,35.5064,33.8433,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,Mo2men Al Ali,SPECIALIST,4,35.8414,34.4415,2
BEIRUT,MOUSAITBEH,Karakol EL druze,3and l Doctor,GROCERY,4,35.4869,33.8904,2
BEIRUT,RAS BEIRUT,HAMRA,Sadat Café,Newelneh,5,35.477,33.8952,2
BEIRUT,MOUSAITBEH,MOUSAITBEH,MIKKI Market,GROCERY,5,35.4986,33.8866,2
BEIRUT,ACHRAFIEH,SASSINE,Richard Saba,Newelneh,5,35.5206,33.8876,2
BECAA,WEST BECAA,SAGHBINE,Asis Center Saghbin,GROCERY,5,35.729,33.6419,2
MOUNT LEBANON,SHOUF,RMEILET,liqir,GROCERY,4,35.3926,33.6063,2
NABATIEH,BENT JBEIL,TEBNINE,Mohamad Afif,SPECIALIST,4,35.4113,33.2044,2
MOUNT LEBANON,METN,ZALKA,Pick & Roll,Newelneh,4,35.5697,33.9005,2
BEIRUT,RAS BEIRUT,HAMRA,HIBOU - Sadat,GROCERY,4,35.4772,33.8938,2
MOUNT LEBANON,METN,BOURJ HAMMOUD,Linzi,GROCERY,6,35.5449,33.8921,2
MOUNT LEBANON,DAHYEH,HARET HREIK,One Market,GROCERY,5,35.5147,33.8559,2
MOUNT LEBANON,BAABDA,BIR HASSAN,Judy Café,Newelneh,5,35.493,33.8551,2
BEIRUT,RAS BEIRUT,HAMRA,MVP Mart,GROCERY,5,35.485,33.8957,2
BEIRUT,MINA EL HOSN,KANTARI,Insomnia,GROCERY,5,35.4916,33.898,2
MOUNT LEBANON,SHOUF,DMIT,Roudi nasr Sm,GROCERY,4,35.5123,33.6898,2
MOUNT LEBANON,SHOUF,NEAHME,coffe el sultan,KIOSK,4,35.446,33.7063,2
MOUNT LEBANON,ALEY,DAWHAT AARAMOUN,Al Mouhandis,GROCERY,4,35.4872,33.787,2
MOUNT LEBANON,BAABDA,HADATH,saifo caffe,Newelneh,5,35.5273,33.8313,2
MOUNT LEBANON,SHOUF,NEAHME,ali kova,KIOSK,5,35.451,33.713,2
MOUNT LEBANON,BAABDA,HADATH,Abou Rabih,Newelneh,5,35.5347,33.8489,2
MOUNT LEBANON,SHOUF,DEIR EL QAMAR,Al Basha,GROCERY,5,35.5561,33.6961,2
MOUNT LEBANON,BAABDA,BAABDA CITY,Yarzeh,GROCERY,5,35.5511,33.8392,2
SOUTH,TYR,ABASIYEH,Al Aaeilat,GROCERY,6,35.2296,33.2858,2
MOUNT LEBANON,METN,NACCACHE,The Grocery Store,GROCERY,6,35.6002,33.93,2
MOUNT LEBANON,METN,JAL EL DIB,Merci Market,GROCERY,5,35.581,33.9079,2
MOUNT LEBANON,DAHYEH,CHIYAH,AL Dai3a (Cheyah),GROCERY,5,35.5173,33.8587,2
MOUNT LEBANON,DAHYEH,TAHWITA AL GHADEER,Siblini aboumalek,GROCERY,5,35.5091,33.8324,2
MOUNT LEBANON,METN,DEKWANEH,Smoking,SPECIALIST,3,35.5433,33.8796,2
NORTH,GREATER TRIPOLI,MINA,Aya Café,GROCERY,5,35.814,34.4497,2
MOUNT LEBANON,METN,BOLONIA,Drive Thru Express,Newelneh,5,35.7199,33.9044,2
MOUNT LEBANON,METN,BOLONIA,Isterahit Nour,Newelneh,5,35.7214,33.9048,2
MOUNT LEBANON,SHOUF,BAAQLINE,Friends,GROCERY,5,35.5621,33.6762,2
MOUNT LEBANON,METN,SIN EL FIL,Small Mall,GROCERY,5,35.5414,33.873,2
MOUNT LEBANON,METN,FANAR,M.J. Youssef,Newelneh,5,35.5626,33.8872,2
MOUNT LEBANON,METN,FANAR,Jean Youssef,Newelneh,5,35.5625,33.8872,2
MOUNT LEBANON,METN,DEKWANEH,Al Hayek Market,GROCERY,6,35.5461,33.8745,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,Zakharia mm,GROCERY,5,35.8298,34.4194,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,Lynn Market,GROCERY,5,35.8281,34.4429,2
NORTH,GREATER TRIPOLI,MINA,Boustani Tobacco,SPECIALIST,2,35.8142,34.4496,2
NORTH,ZGHARTA,AALMA,Mohamad Khoder sm,GROCERY,5,35.8898,34.4225,2
MOUNT LEBANON,METN,Dhour EL Choueir,3a Tare2ak Nawelne (Dhour),Newelneh,5,35.7126,33.9069,2
MOUNT LEBANON,METN,BIAQOUT,Next 2 U,GROCERY,5,35.5887,33.9009,2
BEIRUT,RMEIL,AL HIKMAT,Aazam Market,GROCERY,5,35.5227,33.8912,2
NORTH,BATROUN,CHEKKA,Salem Café,Newelneh,5,35.7232,34.3103,2
NORTH,KOURA,QALHAT,Jhon Yaakoub,GROCERY,4,35.7827,34.3551,2
MOUNT LEBANON,ALEY,BCHEMOUN,Carrefour (Bchamoun),Super Market,4,35.4924,33.7945,2
MOUNT LEBANON,ALEY,KHALDE,snooze,Newelneh,4,35.4809,33.7905,2
MOUNT LEBANON,BAABDA,HADATH,Drinks Shop Hadath,Newelneh,4,35.5272,33.8317,2
MOUNT LEBANON,DAHYEH,Ozai,Soultan Café Ozai,Newelneh,5,35.4851,33.8443,2
MOUNT LEBANON,BAABDA,BIR HASSAN,Soultan Café 3amlieh,Newelneh,5,35.4967,33.8494,2
MOUNT LEBANON,BAABDA,FURN EL CHEBBAK,Foody's Mart,Newelneh,5,35.5195,33.8769,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,Way Market,Newelneh,5,35.6084,33.9693,2
MOUNT LEBANON,KESERWAN,MAAMELTEEN,Zouzo Market,GROCERY,5,35.6379613,33.989028,2
MOUNT LEBANON,DAHYEH,LAYLAKI,Mohamad Market,GROCERY,5,35.5126,33.8362,2
NABATIEH,BENT JBEIL,YATER,Al Aabed MM (Bshir),GROCERY,5,35.3396342,33.1696945,2
BEIRUT,RAS BEIRUT,HAMRA,Ayoub Café (Hamra),Newelneh,5,35.4838,33.894,2
BEIRUT,RAS BEIRUT,KRAITEM,Tabesh Station,Newelneh,5,35.4806,33.8888,2
BEIRUT,RAS BEIRUT,Rawshe,Labban Café,Newelneh,6,35.4729,33.894,2
MOUNT LEBANON,BAABDA,GHOUBAIRI,Al Zein,GROCERY,5,35.5117,33.863,2
BEIRUT,ACHRAFIEH,SASSINE,HIBOU - Saideh,GROCERY,4,35.5232,33.8878,2
MOUNT LEBANON,METN,BEIT EL KEKKO,Hookah & More,Newelneh,5,35.6361,33.9266,2
MOUNT LEBANON,METN,DORA,Carrefour (City Mall),Super Market,5,35.5653,33.8969,2
SOUTH,TYR,ZRARIYI,Mini mall zrariyi,GROCERY,5,35.3294,33.344,2
MOUNT LEBANON,ALEY,ALEY,Aley MM,GROCERY,4,35.6082,33.812,2
MOUNT LEBANON,SHOUF,SAADIAT,sm dunia,GROCERY,5,35.428,33.6892,2
MOUNT LEBANON,KESERWAN,ZOUK MOSBEH,Coffee Maker NDU,Newelneh,5,35.6182,33.9525,2
MOUNT LEBANON,METN,AWKAR,Veggie Garden,GROCERY,6,35.6073,33.9345,2
MOUNT LEBANON,KESERWAN,ZOUK MOSBEH,Mart Uncle,Newelneh,5,35.6062,33.9563,2
MOUNT LEBANON,KESERWAN,HARET SAKHER,Henry Market (Harisa Road),GROCERY,5,35.644,33.9895,2
MOUNT LEBANON,KESERWAN,MAAMELTEEN,Halabi Market (Maameltain),GROCERY,5,35.6453,34.006,2
SOUTH,TYR,MAARAKE,Al Saha SM,GROCERY,5,35.3091,33.2731,2
SOUTH,TYR,BORJ QALAOUIYE,Panda Market (Ghandourieh),GROCERY,6,35.4285,33.2693,2
NORTH,BATROUN,CHEKKA,Le Grand Marche,GROCERY,5,35.7262418,34.319333,2
NORTH,KOURA,KOURA RURAL,Al Ghazal Market,GROCERY,5,35.8004389,34.369139,2
NORTH,ZGHARTA,KFAR HATA,Nawal Shbat,GROCERY,5,35.8742091,34.3535737,2
NORTH,ZGHARTA,Bnashai,Pano Market,GROCERY,5,35.8832813,34.3377646,2
NORTH,ZGHARTA,ZGHARTA ZEWYEH,The Super market,GROCERY,5,35.8997114,34.388458,2
MOUNT LEBANON,ALEY,KHALDE,mayyil market,GROCERY,5,35.4813,33.7915,2
MOUNT LEBANON,ALEY,KHALDE,cigar and more,GROCERY,5,35.4820081,33.7924009,2
MOUNT LEBANON,ALEY,DEIR QOUBEL,mini market ramzi,GROCERY,5,35.5132,33.7953,2
NABATIEH,NABATIEH,NABATIYET EL FAOUQA,Al Moukhtar Liltamween,GROCERY,6,35.501,33.3553,2
MOUNT LEBANON,METN,ANTELIAS,Kiosk Lana Jal El Dib,KIOSK,5,35.5865,33.9137,2
MOUNT LEBANON,METN,Dhour EL Choueir,Zoughaib mm,GROCERY,6,35.7095944,33.9128435,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,Welcome Café,Newelneh,5,35.4968,33.8342,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,Al Hajj Café,Newelneh,5,35.4965,33.8344,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,Ihab Café,Newelneh,5,35.5016,33.8329,2
MOUNT LEBANON,DAHYEH,HARET HREIK,HALA MARKET,GROCERY,6,35.5194,33.8486,2
MOUNT LEBANON,DAHYEH,AL AJNIHA,Nasreldeen 2,GROCERY,5,35.5159,33.8219,2
NORTH,GREATER TRIPOLI,MINA,Mini Trolley,GROCERY,5,35.8222,34.4447,2
