District,Region,Area,outletname,OUTLET TYPE,VC,longitude,latitude,vf
MOUNT LEBANON,DAHYEH,LAYLAKI,AL RIMAL MARKET,GROCERY,4,35.5167,33.8301,2
MOUNT LEBANON,METN,MANSOURIEH,ABOU KHALIL MARKET,GROCERY,5,35.5748,33.8573,2
MOUNT LEBANON,ALEY,BHAMDOUN,STORES KHALED ABO FARRAJ,GROCERY,4,35.6619,33.8068,2
MOUNT LEBANON,SHOUF,DAMOUR,ABOU RAFEAA DAMOUR,GROCERY,5,35.4548,33.7342,2
MOUNT LEBANON,METN,DEKWANEH,HAMOUDI TRADING,GROCERY,5,35.5491,33.875,2
MOUNT LEBANON,DAHYEH,HARET HREIK,SM AL HAJ..HAMDAN,GROCERY,5,35.5035,33.8556,2
MOUNT LEBANON,ALEY,BCHEMOUN,SM SAAB,GROCERY,4,35.4947,33.7922,2
MOUNT LEBANON,DAHYEH,HARET HREIK,AL ISRAA MARKET,GROCERY,5,35.51,33.8554,2
BECAA,ZAHLE,Zahleh Rural,CHTOURA RAMA,GROCERY,3,35.8338,33.8144,2
MOUNT LEBANON,ALEY,BHAMDOUN,AMIN ABO KHALED,GROCERY,4,35.6501,33.7953,2
MOUNT LEBANON,BAABDA,KFARCHIMA,merkato supermarket,GROCERY,5,35.5313,33.8181,2
MOUNT LEBANON,ALEY,KHALDE,ABO RAFEAA mm,GROCERY,4,35.469,33.7721,2
MOUNT LEBANON,ALEY,QMATIEH,Zarwi Sm,GROCERY,4,35.5841,33.8014,2
MOUNT LEBANON,ALEY,AARAMOUN,DANDAN,GROCERY,4,35.4897,33.7879,2
MOUNT LEBANON,ALEY,BCHEMOUN,TOTAL BCHAMOUN,Petrol Station,5,35.4977,33.7902,2
MOUNT LEBANON,ALEY,BCHEMOUN,MDAKA,GROCERY,5,35.4983,33.7903,2
MOUNT LEBANON,DAHYEH,HARET HREIK,MOKDAD MARKET,GROCERY,5,35.5157,33.8448,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,HARAKI MARKET,GROCERY,4,35.5084,33.8428,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,RISLAN MKT,GROCERY,5,35.5003,33.8429,2
MOUNT LEBANON,DAHYEH,HARET HREIK,SM BAYDOUN,GROCERY,5,35.5079,33.8546,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,BERRO MKT,GROCERY,5,35.5117,33.8397,2
MOUNT LEBANON,BAABDA,BAABDA CITY,JAMIL KHOURY,GROCERY,4,35.5425,33.8308,2
MOUNT LEBANON,BAABDA,HADATH,TRIPINA MARKET,GROCERY,4,35.5273,33.8299,2
MOUNT LEBANON,BAABDA,HAZMIEH,Le Regal,GROCERY,5,35.5465,33.8521,2
MOUNT LEBANON,DAHYEH,Ozai,BERRO MKT,GROCERY,5,35.4849,33.8452,2
MOUNT LEBANON,DAHYEH,Ozai,SHREIF MKT,GROCERY,6,35.4863,33.8457,2
MOUNT LEBANON,DAHYEH,Ozai,SHRARA MKT,GROCERY,4,35.4849,33.8439,2
BECAA,ZAHLE,Zahle City,ECO MARKET,GROCERY,5,35.8959,33.8421,2
MOUNT LEBANON,ALEY,SHAROUN,SAMIR AHMADEYEH,GROCERY,4,35.6933,33.7923,2
MOUNT LEBANON,ALEY,BCHEMOUN,ADIBE NAJM,GROCERY,5,35.5301,33.7829,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,SAADE MARKET,GROCERY,6,35.5059,33.8412,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,SM MALAK,GROCERY,5,35.511,33.8463,2
MOUNT LEBANON,ALEY,CHOUEIFAT,CHEHADEH SM,GROCERY,5,35.5269,33.8214,2
MOUNT LEBANON,ALEY,KHALDE,JIHAD M.M,GROCERY,5,35.4782,33.7881,2
MOUNT LEBANON,ALEY,AIN ONOUB,LODGE MARKET,GROCERY,4,35.5429,33.7848,2
MOUNT LEBANON,DAHYEH,HARET HREIK,SM MALAK,GROCERY,5,35.5109,33.8561,2
MOUNT LEBANON,BAABDA,HAZMIEH,Tannoury Market,GROCERY,5,35.5375,33.8596,2
MOUNT LEBANON,DAHYEH,HARET HREIK,FOUAD M,GROCERY,5,35.5147,33.8578,2
